S.no,Plant name(Botanical Name),Water level,Temperature,Sun light,Soil Moisture
257,Germander (Teucrium spp.),High,Warm to hot climates,Partial Sun/Partial Shade Plants,Moist
258,Candytuft (Iberis spp.),Low,"Prefer cooler, shaded areas",Full sun,Well-Drained
259,Jacob's Ladder (Polemonium spp.),High,Tolerates a range of temperatures,Shade Plants,Consistently Moist
260,Hellebore (Helleborus spp.),Moderate,"Hot, dry climates",Full sun,Moist to Wet
261,Evening Primrose (Oenothera spp.),Moderate,Warm to hot climates,Partial Sun/Partial Shade Plants,Moist
262,Goldenrod (Solidago spp.),Low,Cool to temperate climates,Shade Plants,Consistently Moist
263,Torch Lily (Kniphofia spp.),High,"Prefer cooler, shaded areas",Full sun,Waterlogged
264,Catmint (Nepeta spp.),Moderate,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Moist
265,Butterfly Milkweed (Asclepias tuberosa),High,"Hot, dry climates",Full sun,Well-Drained
266,Red Hot Poker (Kniphofia uvaria),Low,"Prefer cooler, shaded areas",Partial Sun/Partial Shade Plants,Moist to Wet
267,Lady's Mantle (Alchemilla mollis),Low,Warm to hot climates,Full sun,Well-Drained
268,Hosta (Hosta spp.),Moderate,Cool to temperate climates,Partial Sun/Partial Shade Plants,Consistently Moist
269,Oregano (Origanum spp.),High,Tolerates a range of temperatures,Shade Plants,Moist
270,Phlox (Phlox spp.),Moderate,"Hot, dry climates",Full sun,Waterlogged
271,Heuchera (Heuchera spp.),Low,Warm to hot climates,Partial Sun/Partial Shade Plants,Moist to Wet
272,Lavender Cotton (Santolina chamaecyparissus),High,Cool to temperate climates,Shade Plants,Moist
273,St. John's Wort (Hypericum spp.),Moderate,Tolerates a range of temperatures,Full sun,Moist to Wet
274,Lady Fern (Athyrium filix-femina),High,"Prefer cooler, shaded areas",Full sun,Well-Drained
275,Bugleweed (Ajuga reptans),Low,"Hot, dry climates",Partial Sun/Partial Shade Plants,Moist
276,Catmint (Nepeta spp.),Low,Cool to temperate climates,Shade Plants,Well-Drained
277,Bloodroot (Sanguinaria canadensis),Moderate,Warm to hot climates,Full sun,Consistently Moist
278,Lenten Rose (Helleborus spp.),High,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Moist
279,Creeping Jenny (Lysimachia nummularia),Low,"Prefer cooler, shaded areas",Shade Plants,Waterlogged
280,Holly (Ilex spp.),Moderate,Tolerates a range of temperatures,Full sun,Waterlogged
281,Sweet William (Dianthus barbatus),High,Warm to hot climates,Partial Sun/Partial Shade Plants,Moist to Wet
282,Foxglove (Digitalis purpurea),Low,"Hot, dry climates",Full sun,Consistently Moist
283,Sweet Pea (Lathyrus odoratus),Low,Cool to temperate climates,Shade Plants,Moist
284,Baptisia (Baptisia spp.),Moderate,"Prefer cooler, shaded areas",Full sun,Moist
285,Bleeding Heart (Dicentra spectabilis),High,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Well-Drained
286,Jacob's Ladder (Polemonium spp.),Low,Cool to temperate climates,Full sun,Well-Drained
287,Coral Bells (Heuchera spp.),Moderate,"Prefer cooler, shaded areas",Shade Plants,Moist to Wet
288,Salvia (Salvia spp.),High,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Moist
289,Euphorbia (Euphorbia spp.),Low,Warm to hot climates,Full sun,Consistently Moist
290,Bleeding Heart (Dicentra spectabilis),Moderate,"Hot, dry climates",Shade Plants,Moist
291,Coreopsis (Coreopsis spp.),Low,Warm to hot climates,Full sun,Moist
292,Gaura (Gaura lindheimeri),High,Cool to temperate climates,Partial Sun/Partial Shade Plants,Moist to Wet
293,Lobelia (Lobelia spp.),Moderate,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Moist
294,Nasturtium (Tropaeolum majus),Moderate,"Prefer cooler, shaded areas",Full sun,Well-Drained
295,Wisteria (Wisteria spp.),High,Cool to temperate climates,Shade Plants,Consistently Moist
296,Calla Lily (Zantedeschia spp.),Low,"Hot, dry climates",Full sun,Waterlogged
297,Sweet Alyssum (Lobularia maritima),Low,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Moist
298,Snowdrop (Galanthus spp.),Moderate,"Prefer cooler, shaded areas",Full sun,Well-Drained
299,Bleeding Heart (Dicentra spectabilis),High,Warm to hot climates,Shade Plants,Waterlogged
300,Black-Eyed Susan (Rudbeckia hirta),High,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Moist to Wet
301,Foxglove (Digitalis purpurea),Moderate,Tolerates a range of temperatures,Full sun,Consistently Moist
302,Lupine (Lupinus spp.),Low,"Prefer cooler, shaded areas",Partial Sun/Partial Shade Plants,Moist
303,Delphinium (Delphinium spp.),High,Warm to hot climates,Full sun,Moist
304,Baptisia (Baptisia spp.),Low,Cool to temperate climates,Shade Plants,Moist
305,Candytuft (Iberis spp.),Low,"Hot, dry climates",Full sun,Well-Drained
306,Joe Pye Weed (Eutrochium purpureum),Moderate,Cool to temperate climates,Partial Sun/Partial Shade Plants,Moist
307,Balloon Flower (Platycodon grandiflorus),High,Warm to hot climates,Shade Plants,Waterlogged
308,Gaura (Gaura lindheimeri),Low,"Prefer cooler, shaded areas",Full sun,Moist to Wet
309,Black-Eyed Susan (Rudbeckia spp.),High,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Well-Drained
310,Bee Balm (Monarda spp.),Moderate,"Hot, dry climates",Full sun,Moist
311,Bleeding Heart (Dicentra spectabilis),Moderate,Warm to hot climates,Partial Sun/Partial Shade Plants,Consistently Moist
312,Lavender Cotton (Santolina spp.),Low,Cool to temperate climates,Full sun,Moist
313,Butterfly Bush (Buddleja davidii),High,"Prefer cooler, shaded areas",Partial Sun/Partial Shade Plants,Moist
314,Catmint (Nepeta spp.),Moderate,Tolerates a range of temperatures,Shade Plants,Well-Drained
315,Perennial Sunflower (Helianthus spp.),High,"Hot, dry climates",Full sun,Waterlogged
316,Purple Coneflower (Echinacea purpurea),Low,"Prefer cooler, shaded areas",Partial Sun/Partial Shade Plants,Moist to Wet
317,Beech (Fagus spp.),Low,Warm to hot climates,Shade Plants,Moist
318,Goldenrod (Solidago spp.),Moderate,Cool to temperate climates,Full sun,Well-Drained
319,Monkshood (Aconitum spp.),High,Tolerates a range of temperatures,Full sun,Waterlogged
320,Ornamental Grasses (Various species),Moderate,"Hot, dry climates",Partial Sun/Partial Shade Plants,Moist
321,Siberian Iris (Iris sibirica),Low,Warm to hot climates,Shade Plants,Consistently Moist
322,Speedwell (Veronica spp.),High,Cool to temperate climates,Full sun,Moist to Wet
323,Spider Flower (Cleome hassleriana),Moderate,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Moist
324,False Indigo (Baptisia australis),High,"Prefer cooler, shaded areas",Shade Plants,Waterlogged
325,Columbine (Aquilegia spp.),Low,"Hot, dry climates",Full sun,Well-Drained
326,Japanese Maple (Acer palmatum),Low,Cool to temperate climates,Partial Sun/Partial Shade Plants,Consistently Moist
327,Rock Cress (Aubrieta deltoidea),Moderate,Warm to hot climates,Full sun,Moist to Wet
328,Siberian Iris (Iris sibirica),High,Tolerates a range of temperatures,Shade Plants,Moist
329,Balloon Flower (Platycodon grandiflorus),Low,"Prefer cooler, shaded areas",Full sun,Moist to Wet
330,Sweet Woodruff (Galium odoratum),Moderate,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Waterlogged
331,Red Hot Poker (Kniphofia spp.),High,Warm to hot climates,Full sun,Moist
332,Bishop's Hat (Epimedium spp.),Low,"Hot, dry climates",Shade Plants,Moist
333,Gooseneck Loosestrife (Lysimachia clethroides),Low,Cool to temperate climates,Partial Sun/Partial Shade Plants,Consistently Moist
334,Mexican Hat (Ratibida columnifera),Moderate,"Prefer cooler, shaded areas",Full sun,Well-Drained
335,Blue False Indigo (Baptisia australis),High,Tolerates a range of temperatures,Shade Plants,Moist
336,False Sunflower (Heliopsis helianthoides),Moderate,Cool to temperate climates,Full sun,Moist
337,Blazing Star (Liatris spp.),Low,"Prefer cooler, shaded areas",Partial Sun/Partial Shade Plants,Waterlogged
338,Mexican Sunflower (Tithonia rotundifolia),High,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Well-Drained
339,Chinese Lantern (Physalis alkekengi),Low,Warm to hot climates,Full sun,Moist to Wet
340,Hosta (Hosta spp.),Moderate,"Hot, dry climates",Shade Plants,Moist
341,Peony (Paeonia spp.),Low,Warm to hot climates,Full sun,Well-Drained
342,Butterfly Milkweed (Asclepias tuberosa),High,Cool to temperate climates,Partial Sun/Partial Shade Plants,Moist
343,Golden Marguerite (Anthemis tinctoria),Moderate,Tolerates a range of temperatures,Full sun,Moist to Wet
344,Balloon Flower (Platycodon grandiflorus),Moderate,"Prefer cooler, shaded areas",Shade Plants,Consistently Moist
345,Coral Honeysuckle (Lonicera sempervirens),High,Cool to temperate climates,Partial Sun/Partial Shade Plants,Moist
346,Solomon's Seal (Polygonatum spp.),Low,"Hot, dry climates",Full sun,Moist
347,Torch Lily (Kniphofia spp.),Low,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Well-Drained
348,Pincushion Flower (Scabiosa spp.),Moderate,"Prefer cooler, shaded areas",Full sun,Moist to Wet
349,Gaillardia (Gaillardia spp.),High,Warm to hot climates,Shade Plants,Waterlogged
350,Sweet Pea (Lathyrus odoratus),High,Tolerates a range of temperatures,Full sun,Consistently Moist
351,Bee Balm (Monarda didyma),Moderate,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Moist
352,Painted Daisy (Tanacetum coccineum),Low,"Prefer cooler, shaded areas",Shade Plants,Waterlogged
353,Coral Bells (Heuchera spp.),High,Warm to hot climates,Full sun,Moist
354,Hellebore (Helleborus spp.),Low,Cool to temperate climates,Partial Sun/Partial Shade Plants,Moist to Wet
355,Lenten Rose (Helleborus spp.),Low,"Hot, dry climates",Full sun,Well-Drained
356,Lady's Mantle (Alchemilla spp.),Moderate,Cool to temperate climates,Partial Sun/Partial Shade Plants,Moist
357,Perennial Sweet Pea (Lathyrus latifolius),High,Warm to hot climates,Full sun,Moist to Wet
358,Red Hot Poker (Kniphofia uvaria),Low,"Prefer cooler, shaded areas",Partial Sun/Partial Shade Plants,Consistently Moist
359,Coreopsis (Coreopsis spp.),High,Tolerates a range of temperatures,Shade Plants,Waterlogged
360,Bleeding Heart (Dicentra spectabilis),Moderate,"Hot, dry climates",Full sun,Well-Drained
361,Liatris (Liatris spp.),Moderate,Warm to hot climates,Partial Sun/Partial Shade Plants,Moist
362,Foxglove (Digitalis purpurea),Low,Cool to temperate climates,Shade Plants,Moist
363,Penstemon (Penstemon spp.),High,"Prefer cooler, shaded areas",Full sun,Moist
364,Bluebonnet (Lupinus spp.),Moderate,Tolerates a range of temperatures,Full sun,Waterlogged
365,Dutch Iris (Iris hollandica),High,"Hot, dry climates",Partial Sun/Partial Shade Plants,Well-Drained
366,Canterbury Bells (Campanula medium),Low,"Prefer cooler, shaded areas",Shade Plants,Moist to Wet
367,Speedwell (Veronica spp.),Low,Warm to hot climates,Full sun,Moist
368,Ostrich Fern (Matteuccia struthiopteris),Moderate,Cool to temperate climates,Partial Sun/Partial Shade Plants,Consistently Moist
369,Viola (Viola spp.),High,Tolerates a range of temperatures,Shade Plants,Moist
370,Monkshood (Aconitum spp.),Moderate,"Hot, dry climates",Full sun,Waterlogged
371,Jacob's Ladder (Polemonium spp.),Low,Warm to hot climates,Partial Sun/Partial Shade Plants,Moist to Wet
372,Malva (Malva spp.),High,Cool to temperate climates,Full sun,Moist
373,Money Plant (Lunaria annua),Moderate,Tolerates a range of temperatures,Shade Plants,Moist to Wet
374,Joe Pye Weed (Eutrochium purpureum),High,"Prefer cooler, shaded areas",Full sun,Consistently Moist
375,Lungwort (Pulmonaria spp.),Low,"Hot, dry climates",Partial Sun/Partial Shade Plants,Well-Drained
376,Sneezeweed (Helenium spp.),Low,Cool to temperate climates,Full sun,Moist
377,Mexican Hat (Ratibida columnifera),Moderate,Warm to hot climates,Shade Plants,Well-Drained
378,False Sunflower (Heliopsis helianthoides),High,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Waterlogged
379,Soapwort (Saponaria spp.),Low,"Prefer cooler, shaded areas",Full sun,Moist to Wet
380,Lilyturf (Liriope spp.),Moderate,Tolerates a range of temperatures,Shade Plants,Consistently Moist
381,Lily of the Valley (Convallaria majalis),High,Warm to hot climates,Full sun,Moist
382,Verbena (Verbena spp.),Low,"Hot, dry climates",Partial Sun/Partial Shade Plants,Moist
383,Calla Lily (Zantedeschia spp.),Low,Cool to temperate climates,Partial Sun/Partial Shade Plants,Waterlogged
384,Sweet Alyssum (Lobularia maritima),Moderate,"Prefer cooler, shaded areas",Full sun,Moist to Wet
385,Snowdrop (Galanthus spp.),High,Tolerates a range of temperatures,Shade Plants,Well-Drained
386,Bleeding Heart (Dicentra spectabilis),Low,Cool to temperate climates,Full sun,Consistently Moist
387,Coreopsis (Coreopsis spp.),Moderate,"Prefer cooler, shaded areas",Partial Sun/Partial Shade Plants,Moist
388,Gaura (Gaura lindheimeri),High,Tolerates a range of temperatures,Full sun,Moist
389,Snapdragons (Antirrhinum majus),Low,Warm to hot climates,Shade Plants,Moist to Wet
390,Columbine (Aquilegia spp.),Moderate,"Hot, dry climates",Partial Sun/Partial Shade Plants,Waterlogged
391,Lily of the Valley (Convallaria majalis),Low,Warm to hot climates,Full sun,Moist
392,Verbena (Verbena spp.),High,Cool to temperate climates,Partial Sun/Partial Shade Plants,Moist
393,Candytuft (Iberis spp.),Moderate,Tolerates a range of temperatures,Full sun,Well-Drained
394,Blue Star (Amsonia spp.),Moderate,"Prefer cooler, shaded areas",Shade Plants,Moist to Wet
395,Dianella (Dianella spp.),High,Cool to temperate climates,Full sun,Consistently Moist
396,Foamflower (Tiarella cordifolia),Low,"Hot, dry climates",Partial Sun/Partial Shade Plants,Moist
397,Jacob's Ladder (Polemonium spp.),Low,Tolerates a range of temperatures,Shade Plants,Moist to Wet
398,Lemon Balm (Melissa officinalis),Moderate,"Prefer cooler, shaded areas",Full sun,Well-Drained
399,Sedum (Sedum spp.),High,Warm to hot climates,Partial Sun/Partial Shade Plants,Waterlogged
400,Lady's Mantle (Alchemilla mollis),High,Tolerates a range of temperatures,Full sun,Moist
401,Foxglove (Digitalis purpurea),Moderate,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Well-Drained
402,Lupine (Lupinus spp.),Low,"Prefer cooler, shaded areas",Full sun,Moist
403,Delphinium (Delphinium spp.),High,Warm to hot climates,Partial Sun/Partial Shade Plants,Moist to Wet
404,Baptisia (Baptisia spp.),Low,Cool to temperate climates,Shade Plants,Moist
405,Candytuft (Iberis spp.),Low,"Hot, dry climates",Full sun,Well-Drained
406,Joe Pye Weed (Eutrochium purpureum),Moderate,Cool to temperate climates,Partial Sun/Partial Shade Plants,Consistently Moist
407,Balloon Flower (Platycodon grandiflorus),High,Warm to hot climates,Shade Plants,Moist
408,Gaura (Gaura lindheimeri),Low,"Prefer cooler, shaded areas",Full sun,Waterlogged
409,Black-Eyed Susan (Rudbeckia spp.),High,Tolerates a range of temperatures,Full sun,Well-Drained
410,Bee Balm (Monarda spp.),Moderate,"Hot, dry climates",Partial Sun/Partial Shade Plants,Moist
411,Bleeding Heart (Dicentra spectabilis),Moderate,Warm to hot climates,Shade Plants,Moist
412,Lavender Cotton (Santolina spp.),Low,Cool to temperate climates,Full sun,Well-Drained
413,Butterfly Bush (Buddleja davidii),High,"Prefer cooler, shaded areas",Partial Sun/Partial Shade Plants,Waterlogged
414,Catmint (Nepeta spp.),Moderate,Tolerates a range of temperatures,Shade Plants,Moist to Wet
415,Perennial Sunflower (Helianthus spp.),High,"Hot, dry climates",Full sun,Consistently Moist
416,Purple Coneflower (Echinacea purpurea),Low,"Prefer cooler, shaded areas",Partial Sun/Partial Shade Plants,Waterlogged
417,Beech (Fagus spp.),Low,Warm to hot climates,Full sun,Moist
418,Goldenrod (Solidago spp.),Moderate,Cool to temperate climates,Shade Plants,Well-Drained
419,Monkshood (Aconitum spp.),High,Tolerates a range of temperatures,Full sun,Moist to Wet
420,Ornamental Grasses (Various species),Moderate,"Hot, dry climates",Partial Sun/Partial Shade Plants,Well-Drained
421,Siberian Iris (Iris sibirica),Low,Warm to hot climates,Full sun,Consistently Moist
422,Speedwell (Veronica spp.),High,Cool to temperate climates,Shade Plants,Moist
423,Spider Flower (Cleome hassleriana),Moderate,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Waterlogged
424,False Indigo (Baptisia australis),High,"Prefer cooler, shaded areas",Full sun,Consistently Moist
425,Columbine (Aquilegia spp.),Low,"Hot, dry climates",Shade Plants,Moist to Wet
426,Japanese Maple (Acer palmatum),Low,Cool to temperate climates,Full sun,Moist
427,Rock Cress (Aubrieta deltoidea),Moderate,Warm to hot climates,Partial Sun/Partial Shade Plants,Consistently Moist
428,Siberian Iris (Iris sibirica),High,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Well-Drained
429,Balloon Flower (Platycodon grandiflorus),Low,"Prefer cooler, shaded areas",Full sun,Waterlogged
430,Sweet Woodruff (Galium odoratum),Moderate,Tolerates a range of temperatures,Shade Plants,Moist
431,Red Hot Poker (Kniphofia spp.),High,Warm to hot climates,Full sun,Moist to Wet
432,Bishop's Hat (Epimedium spp.),Low,"Hot, dry climates",Partial Sun/Partial Shade Plants,Waterlogged
433,Gooseneck Loosestrife (Lysimachia clethroides),Low,Cool to temperate climates,Full sun,Well-Drained
434,Mexican Hat (Ratibida columnifera),Moderate,"Prefer cooler, shaded areas",Shade Plants,Moist
435,Blue False Indigo (Baptisia australis),High,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Moist to Wet
436,False Sunflower (Heliopsis helianthoides),Moderate,Cool to temperate climates,Full sun,Consistently Moist
437,Blazing Star (Liatris spp.),Low,"Prefer cooler, shaded areas",Partial Sun/Partial Shade Plants,Waterlogged
438,Mexican Sunflower (Tithonia rotundifolia),High,Tolerates a range of temperatures,Full sun,Well-Drained
439,Chinese Lantern (Physalis alkekengi),Low,Warm to hot climates,Shade Plants,Moist
440,Hosta (Hosta spp.),Moderate,"Hot, dry climates",Full sun,Moist
441,Peony (Paeonia spp.),Low,Warm to hot climates,Partial Sun/Partial Shade Plants,Moist to Wet
442,Butterfly Milkweed (Asclepias tuberosa),High,Cool to temperate climates,Shade Plants,Consistently Moist
443,Golden Marguerite (Anthemis tinctoria),Moderate,Tolerates a range of temperatures,Full sun,Moist
444,Balloon Flower (Platycodon grandiflorus),Moderate,"Prefer cooler, shaded areas",Partial Sun/Partial Shade Plants,Well-Drained
445,Coral Honeysuckle (Lonicera sempervirens),High,Cool to temperate climates,Full sun,Moist to Wet
446,Solomon's Seal (Polygonatum spp.),Low,"Hot, dry climates",Partial Sun/Partial Shade Plants,Moist
447,Torch Lily (Kniphofia spp.),Low,Tolerates a range of temperatures,Full sun,Consistently Moist
448,Pincushion Flower (Scabiosa spp.),Moderate,"Prefer cooler, shaded areas",Partial Sun/Partial Shade Plants,Well-Drained
449,Gaillardia (Gaillardia spp.),High,Warm to hot climates,Shade Plants,Waterlogged
450,Sweet Pea (Lathyrus odoratus),High,Tolerates a range of temperatures,Full sun,Moist
451,Bee Balm (Monarda didyma),Moderate,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Consistently Moist
452,Painted Daisy (Tanacetum coccineum),Low,"Prefer cooler, shaded areas",Shade Plants,Moist to Wet
453,Coral Bells (Heuchera spp.),High,Warm to hot climates,Full sun,Well-Drained
454,Hellebore (Helleborus spp.),Low,Cool to temperate climates,Full sun,Waterlogged
455,Lenten Rose (Helleborus spp.),Low,"Hot, dry climates",Partial Sun/Partial Shade Plants,Moist
456,Lady's Mantle (Alchemilla spp.),Moderate,Cool to temperate climates,Shade Plants,Moist
457,Perennial Sweet Pea (Lathyrus latifolius),High,Warm to hot climates,Full sun,Moist
458,Red Hot Poker (Kniphofia uvaria),Low,"Prefer cooler, shaded areas",Partial Sun/Partial Shade Plants,Well-Drained
459,Coreopsis (Coreopsis spp.),High,Tolerates a range of temperatures,Shade Plants,Consistently Moist
460,Bleeding Heart (Dicentra spectabilis),Moderate,"Hot, dry climates",Full sun,Moist to Wet
461,Liatris (Liatris spp.),Moderate,Warm to hot climates,Partial Sun/Partial Shade Plants,Moist
462,Foxglove (Digitalis purpurea),Low,Cool to temperate climates,Full sun,Consistently Moist
463,Penstemon (Penstemon spp.),High,"Prefer cooler, shaded areas",Shade Plants,Waterlogged
464,Bluebonnet (Lupinus spp.),Moderate,Tolerates a range of temperatures,Full sun,Moist
465,Dutch Iris (Iris hollandica),High,"Hot, dry climates",Partial Sun/Partial Shade Plants,Well-Drained
466,Canterbury Bells (Campanula medium),Low,"Prefer cooler, shaded areas",Full sun,Moist to Wet
467,Speedwell (Veronica spp.),Low,Warm to hot climates,Shade Plants,Well-Drained
468,Ostrich Fern (Matteuccia struthiopteris),Moderate,Cool to temperate climates,Partial Sun/Partial Shade Plants,Consistently Moist
469,Viola (Viola spp.),High,Tolerates a range of temperatures,Full sun,Moist
470,Monkshood (Aconitum spp.),Moderate,"Hot, dry climates",Shade Plants,Waterlogged
471,Jacob's Ladder (Polemonium spp.),Low,Warm to hot climates,Full sun,Moist to Wet
472,Malva (Malva spp.),High,Cool to temperate climates,Partial Sun/Partial Shade Plants,Moist
473,Money Plant (Lunaria annua),Moderate,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Moist to Wet
474,Joe Pye Weed (Eutrochium purpureum),High,"Prefer cooler, shaded areas",Full sun,Well-Drained
475,Lungwort (Pulmonaria spp.),Low,"Hot, dry climates",Shade Plants,Moist
476,Sneezeweed (Helenium spp.),Low,Cool to temperate climates,Full sun,Well-Drained
477,Mexican Hat (Ratibida columnifera),Moderate,Warm to hot climates,Partial Sun/Partial Shade Plants,Consistently Moist
478,False Sunflower (Heliopsis helianthoides),High,Tolerates a range of temperatures,Full sun,Moist
479,Soapwort (Saponaria spp.),Low,"Prefer cooler, shaded areas",Shade Plants,Waterlogged
480,Lilyturf (Liriope spp.),Moderate,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Waterlogged
481,Lily of the Valley (Convallaria majalis),High,Warm to hot climates,Full sun,Moist to Wet
482,Verbena (Verbena spp.),Low,"Hot, dry climates",Partial Sun/Partial Shade Plants,Consistently Moist
483,Calla Lily (Zantedeschia spp.),Low,Cool to temperate climates,Full sun,Moist
484,Sweet Alyssum (Lobularia maritima),Moderate,"Prefer cooler, shaded areas",Shade Plants,Moist
485,Snowdrop (Galanthus spp.),High,Tolerates a range of temperatures,Full sun,Well-Drained
486,Bleeding Heart (Dicentra spectabilis),Low,Cool to temperate climates,Partial Sun/Partial Shade Plants,Well-Drained
487,Coreopsis (Coreopsis spp.),Moderate,"Prefer cooler, shaded areas",Shade Plants,Moist to Wet
488,Gaura (Gaura lindheimeri),High,Tolerates a range of temperatures,Full sun,Moist
489,Snapdragons (Antirrhinum majus),Low,Warm to hot climates,Partial Sun/Partial Shade Plants,Consistently Moist
490,Columbine (Aquilegia spp.),Moderate,"Hot, dry climates",Full sun,Moist
491,Lily of the Valley (Convallaria majalis),Low,Warm to hot climates,Partial Sun/Partial Shade Plants,Moist
492,Verbena (Verbena spp.),High,Cool to temperate climates,Full sun,Moist to Wet
493,Candytuft (Iberis spp.),Moderate,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Moist
494,Blue Star (Amsonia spp.),Moderate,"Prefer cooler, shaded areas",Shade Plants,Well-Drained
495,Dianella (Dianella spp.),High,Cool to temperate climates,Full sun,Consistently Moist
496,Foamflower (Tiarella cordifolia),Low,"Hot, dry climates",Partial Sun/Partial Shade Plants,Waterlogged
497,Jacob's Ladder (Polemonium spp.),Low,Tolerates a range of temperatures,Full sun,Moist
498,Lemon Balm (Melissa officinalis),Moderate,"Prefer cooler, shaded areas",Partial Sun/Partial Shade Plants,Well-Drained
499,Sedum (Sedum spp.),High,Warm to hot climates,Full sun,Waterlogged
500,Lady's Mantle (Alchemilla mollis), Low,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Moist to Wet
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
